FAQID,Question,Answer,Category,SubCategory,Keywords,Tags,Priority,CreatedDate,UpdatedDate,Status
f8e74cd8-0ca7-4205-9584-f3be4b671619,I need to update my login credentials for SAP Concur on my ThinkPad?,"To perform operations on your login credentials for SAP Concur, log into identity.company.com, navigate to Security settings, and authenticate using your security key or MFA. Contact IT at ext. 4357 if your account is fully locked.",IT Support,Password & Login,"security, mfa, password, login, credentials, new york",#it;#login;#security,Medium,2026-02-13 22:23:12,2026-02-13 22:23:12,Published
9fa583a1-7cf1-438e-85bb-b378d63323cc,Steps to audit my expenses for business travel flights in SAP Concur?,"Submit your claim for business travel flights by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"finance, audit, expense, salesforce, r&d, concur",#finance;#expense;#concur,Low,2025-06-07 22:23:12,2025-06-07 22:23:12,Published
2465fb1c-be15-46f6-9b4a-d2dc407e03c7,Steps to activate my corporate AMEX credit card for my role in Marketing?,Corporate card services are managed through the Corporate Card Portal. Applications and limit increases for corporate AMEX credit card require manager and finance director approval.,Finance & Expenses,Corporate Cards,"ipad, corporate, amex, finance, london, marketing",#finance;#card;#amex,Medium,2026-03-21 22:23:12,2026-04-05 22:23:12,Published
d7698993-79e3-4c9d-8624-f3ced60cf3bf,Can I set up a shared mailbox for Outlook in the Austin office?,"For configurations involving your mailbox for Outlook, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"permissions, shared, marketing, mailbox, october, iphone",#it;#email;#outlook,Medium,2026-05-16 22:23:12,2026-05-16 22:23:12,Published
a4a83764-4618-41f9-a8d2-1c04aa38d971,Steps to audit my expenses for training courses and conferences in SAP Concur?,"Submit your claim for training courses and conferences by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"ipad, expense, human resources, sap concur, receipt, concur",#finance;#expense;#concur,Medium,2025-07-13 22:23:12,2025-07-29 22:23:12,Published
49b5d730-769f-4d08-bafe-c9a2e6a7dc08,What is the way to change my MFA settings for Jira from the Paris office?,"To perform operations on your MFA settings for Jira, log into identity.company.com, navigate to Security settings, and authenticate using your security key or MFA. Contact IT at ext. 4357 if your account is fully locked.",IT Support,Password & Login,"jira, login, reset, february, mfa, engineering",#it;#login;#security,Medium,2025-12-18 22:23:12,2026-01-15 22:23:12,Published
a485e98a-513d-4058-8e59-bd8fa2e4a3a3,Troubleshooting steps for the office Wi-Fi connection while traveling?,"To access the office Wi-Fi connection, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"access, internet, macbook pro, product management, network, toronto",#it;#network;#remote,Medium,2025-06-28 22:23:12,2025-07-06 22:23:12,Published
c833b29a-eb07-4f9f-beea-dfff34467561,Steps to configure a mailbox for SharePoint on Outlook for Android Phone?,"For configurations involving your mailbox for SharePoint, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"shared, permissions, android phone, outlook, september, toronto",#it;#email;#outlook,Medium,2025-09-08 22:23:12,2025-09-08 22:23:12,Published
c5ed3d4b-9c12-41ae-b95f-9a0b0bb01985,Troubleshooting steps for the office Wi-Fi connection from the Singapore branch?,"To access the office Wi-Fi connection, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"ipad, wifi, singapore, human resources, vpn, access",#it;#network;#remote,Low,2025-11-15 22:23:12,2025-11-15 22:23:12,Published
6240e53c-f72d-42d7-89f3-c39ff6027fa1,How to register for dental cleaning and check-ups for my family members?,Health benefits claims for dental cleaning and check-ups should be submitted through the Cigna Portal at cigna.company.com. Keep your itemized receipts. Claims are processed within 5-7 business days.,HR & Policies,Health & Benefits,"android phone, claim, medical, benefits, insurance, customer success",#hr;#benefits;#insurance,High,2025-12-28 22:23:12,2025-12-28 22:23:12,Published
69fd177b-cd5b-4c4b-a0bf-72869b754f49,Steps to unlock my access settings on SAP Concur on my iPad?,"To perform operations on your access settings on SAP Concur, log into identity.company.com, navigate to Security settings, and authenticate using your security key or MFA. Contact IT at ext. 4357 if your account is fully locked.",IT Support,Password & Login,"login, ipad, sap concur, security, mfa, password",#it;#login;#security,High,2025-08-23 22:23:12,2025-08-23 22:23:12,Published
5150f9aa-459f-4905-868e-d98ade7437b9,What is the policy for family emergency leave during July?,"Time off or leave of absence for family emergency leave must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"sick, leave, timeoff, iphone, vacation, pto",#hr;#pto;#leave,Medium,2025-11-11 22:23:12,2025-11-23 22:23:12,Published
6b2bf61f-029a-4061-8c01-1914fd8916c1,Troubleshooting the AV screen in the collaborative meeting space for the R&D group?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with collaborative meeting space, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"thinkpad, meeting, bangalore, room, august, zoom",#facilities;#meeting;#booking,Medium,2025-07-12 22:23:12,2025-07-12 22:23:12,Published
79ba0a7c-1a75-457e-a79c-21b86a817fb5,How to increase the limit on my procurement purchasing card for 2026 business operations?,Corporate card services are managed through the Corporate Card Portal. Applications and limit increases for procurement purchasing card require manager and finance director approval.,Finance & Expenses,Corporate Cards,"november, macbook pro, card, munich, corporate, finance",#finance;#card;#amex,High,2025-10-04 22:23:12,2025-10-04 22:23:12,Published
b3f076e6-7635-4c66-9f54-b0ca48cfcb4e,Guide to connect to secure file sharing server for the Finance team?,"To access the secure file sharing server, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"access, vpn, connect, internet, jira, wifi",#it;#network;#remote,Medium,2025-04-23 22:23:12,2025-05-09 22:23:12,Published
b6227a3d-fa3e-42bc-badd-edbac38fc7ce,What is the policy for family emergency leave in the Workday system?,"Time off or leave of absence for family emergency leave must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"vacation, may, sydney, pto, macbook pro, sick",#hr;#pto;#leave,Medium,2026-03-29 22:23:12,2026-03-29 22:23:12,Published
7823fdbc-55a1-43c5-bfea-6df4c3b55906,Where to upload receipts for business travel flights in July 2025?,"Submit your claim for business travel flights by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"finance, adobe creative cloud, expense, audit, human resources, receipt",#finance;#expense;#concur,Low,2025-05-25 22:23:12,2025-05-25 22:23:12,Published
9f580479-33ce-48dd-963c-7c78966a8dd1,Where can I download my W-2 tax form in the Singapore division?,"Payroll and tax documents, including W-2 tax form, are managed securely via Workday under the 'Pay' app. Update details before the 15th of the month to apply to the current pay run.",HR & Policies,Payroll & Taxes,"payroll, august, tax, product management, singapore, payslip",#hr;#payroll;#taxes,Low,2026-05-03 22:23:12,2026-05-07 22:23:12,Published
a905cc59-1f3b-4638-a388-54be760641df,What is the policy for medical treatment for 2026?,"Time off or leave of absence for medical treatment must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"vacation, macbook pro, munich, figma, timeoff, leave",#hr;#pto;#leave,Low,2025-07-17 22:23:12,2025-07-17 22:23:12,Published
06cf15db-efbd-4901-9933-11ec0baeea79,How do I connect to the internal database network from the Sydney branch?,"To access the internal database network, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"access, sydney, macbook pro, zoom, internet, november",#it;#network;#remote,Medium,2025-08-15 22:23:12,2025-09-04 22:23:12,Published
3b327472-d5bb-47db-8a9c-b18bd30cabdd,Steps to unlock my access settings on Figma while working remotely?,"To perform operations on your access settings on Figma, log into identity.company.com, navigate to Security settings, and authenticate using your security key or MFA. Contact IT at ext. 4357 if your account is fully locked.",IT Support,Password & Login,"reset, password, login, mfa, security, credentials",#it;#login;#security,Medium,2026-03-16 22:23:12,2026-04-15 22:23:12,Published
332b9746-6ecd-491d-904d-367e7ce47b0f,How do I connect to the internal database network while traveling?,"To access the internal database network, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"internet, network, r&d, wifi, office 365, vpn",#it;#network;#remote,Medium,2025-10-04 22:23:12,2025-10-09 22:23:12,Published
7090f23b-221f-46cd-9c8b-59beabaa45d2,How do I file an expense report for annual software subscriptions approved in the Austin office?,"Submit your claim for annual software subscriptions by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"expense, concur, austin, reimbursement, receipt, jira",#finance;#expense;#concur,Medium,2026-04-28 22:23:12,2026-04-28 22:23:12,Published
d495944d-332b-429e-825d-82f1d8479019,Who do I contact about my W-2 tax form for the tax year 2024?,"Payroll and tax documents, including W-2 tax form, are managed securely via Workday under the 'Pay' app. Update details before the 15th of the month to apply to the current pay run.",HR & Policies,Payroll & Taxes,"customer success, sharepoint, may, salary, payslip, tax",#hr;#payroll;#taxes,Low,2026-04-14 22:23:12,2026-05-14 22:23:12,Published
8cb6ca16-07ba-408f-858e-fd48b50201a4,What is the policy for medical treatment for 2024?,"Time off or leave of absence for medical treatment must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"sick, may, timeoff, workday, pto, leave",#hr;#pto;#leave,High,2025-07-23 22:23:12,2025-08-07 22:23:12,Published
c937be97-f3f4-46e1-9d30-8f362b043b9a,Troubleshooting steps for the corporate VPN network from the London branch?,"To access the corporate VPN network, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"connect, vpn, wifi, access, network, android phone",#it;#network;#remote,High,2025-04-25 22:23:12,2025-05-04 22:23:12,Published
a6c22f93-3dfa-436a-880d-e936ca4d9309,Troubleshooting the AV screen in the large boardroom via Outlook calendar?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with large boardroom, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"sharepoint, austin, may, outlook, conference, meeting",#facilities;#meeting;#booking,High,2026-03-18 22:23:12,2026-03-23 22:23:12,Published
adcdbd05-69a9-4992-9f59-cb9a64c05af4,What is the policy for study and exam preparation during July?,"Time off or leave of absence for study and exam preparation must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"slack, paris, leave, timeoff, vacation, sick",#hr;#pto;#leave,High,2026-01-29 22:23:12,2026-01-31 22:23:12,Published
d67c93a1-9a6c-470b-b8ac-06bdd14f93f1,How do I apply for a travel and expense card for my role in Operations?,Corporate card services are managed through the Corporate Card Portal. Applications and limit increases for travel and expense card require manager and finance director approval.,Finance & Expenses,Corporate Cards,"finance, amex, new york, ipad, sap concur, operations",#finance;#card;#amex,Low,2026-02-17 22:23:12,2026-03-15 22:23:12,Published
110a5e3e-d9a3-4834-bb45-5bac32ca6a04,Who can help me block my corporate AMEX credit card for my role in Operations?,Corporate card services are managed through the Corporate Card Portal. Applications and limit increases for corporate AMEX credit card require manager and finance director approval.,Finance & Expenses,Corporate Cards,"corporate, limit, june, operations, finance, sap concur",#finance;#card;#amex,Medium,2025-11-16 22:23:12,2025-11-25 22:23:12,Published
54f96f30-3501-4c15-af51-65a6ab28ba84,How do I request a temporary visitor gate pass requested by the Sales team?,Security and badge access for temporary visitor gate pass is coordinated by the Facilities and Security Team. Visit the security desk or email badge.admin@company.com with manager authorization.,Facilities & Workspace,Office Access,"september, jira, visitor, new york, office, sales",#facilities;#access;#security,High,2026-03-02 22:23:12,2026-03-02 22:23:12,Published
16e3f4d1-499c-443d-9394-e983a5a26469,Guide to connect to internal database network while traveling?,"To access the internal database network, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"engineering, outlook, vpn, access, connect, wifi",#it;#network;#remote,Low,2025-06-18 22:23:12,2025-06-18 22:23:12,Archived
00d010a0-a28d-4bb1-8e5a-2d0de6f36b55,How to claim reimbursement for home office equipment approved in the Sydney office?,"Submit your claim for home office equipment by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"receipt, may, expense, marketing, audit, concur",#finance;#expense;#concur,Medium,2025-10-29 22:23:12,2025-11-09 22:23:12,Published
2b1fdf16-4e71-4651-a3df-8162bfc9cf6d,How do I reset my MFA settings for Salesforce for my Operations account?,"To perform operations on your MFA settings for Salesforce, log into identity.company.com, navigate to Security settings, and authenticate using your security key or MFA. Contact IT at ext. 4357 if your account is fully locked.",IT Support,Password & Login,"security, salesforce, mfa, reset, operations, credentials",#it;#login;#security,Medium,2026-04-11 22:23:12,2026-04-29 22:23:12,Published
a43ae1f6-606d-462c-9080-ef163aa225b5,Guide to connect to corporate VPN network while traveling?,"To access the corporate VPN network, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"iphone, human resources, connect, december, network, jira",#it;#network;#remote,Low,2025-12-02 22:23:12,2025-12-22 22:23:12,Published
87fdbc83-f73f-4b29-8119-a304f86cc7e3,How do I file an expense report for home office equipment in SAP Concur?,"Submit your claim for home office equipment by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"finance, audit, thinkpad, march, expense, r&d",#finance;#expense;#concur,Medium,2025-12-30 22:23:12,2026-01-08 22:23:12,Published
34ba8482-e156-4871-91c1-194132e5f84f,Who can help me block my travel and expense card while traveling to San Francisco?,Corporate card services are managed through the Corporate Card Portal. Applications and limit increases for travel and expense card require manager and finance director approval.,Finance & Expenses,Corporate Cards,"card, ipad, adobe creative cloud, finance, corporate, sales",#finance;#card;#amex,Low,2025-07-08 22:23:12,2025-07-08 22:23:12,Published
ec467fb9-8287-4d7c-9564-7ab560349051,Steps to apply for a leave of absence for parental bonding time as a full-time employee in Austin?,"Time off or leave of absence for parental bonding time must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"vacation, operations, leave, sick, iphone, timeoff",#hr;#pto;#leave,Medium,2025-08-24 22:23:12,2025-08-24 22:23:12,Published
20774454-0b2a-4755-91a2-655efe27640a,How do I book a collaborative meeting space in the Austin office?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with collaborative meeting space, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"room, sales, outlook, meeting, austin, iphone",#facilities;#meeting;#booking,Medium,2026-01-07 22:23:12,2026-01-08 22:23:12,Published
406f14d1-9146-4788-aa41-387131b842d0,Steps to configure a mailbox for Office 365 on Outlook for Android Phone?,"For configurations involving your mailbox for Office 365, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"february, sydney, legal, shared, android phone, mailbox",#it;#email;#outlook,Low,2025-07-03 22:23:12,2025-07-15 22:23:12,Published
c14cc1d5-9581-4057-aa31-ce71318fea4c,What is the policy for reserving a private focus room in the Bangalore office?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with private focus room, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"bangalore, november, conference, outlook, thinkpad, engineering",#facilities;#meeting;#booking,High,2025-08-06 22:23:12,2025-08-06 22:23:12,Published
064a677a-481d-4655-a298-076c19eda86f,What is the coverage limit for physiotherapy sessions for new hires in San Francisco?,Health benefits claims for physiotherapy sessions should be submitted through the Cigna Portal at cigna.company.com. Keep your itemized receipts. Claims are processed within 5-7 business days.,HR & Policies,Health & Benefits,"san francisco, august, operations, insurance, benefits, adobe creative cloud",#hr;#benefits;#insurance,Medium,2025-11-14 22:23:12,2025-12-10 22:23:12,Published
09befab7-356a-4392-951a-d7d321de9f64,Steps to request access to the parking garage access transponder for the Bangalore office?,Security and badge access for parking garage access transponder is coordinated by the Facilities and Security Team. Visit the security desk or email badge.admin@company.com with manager authorization.,Facilities & Workspace,Office Access,"marketing, bangalore, thinkpad, july, access, visitor",#facilities;#access;#security,Medium,2026-04-29 22:23:12,2026-05-19 22:23:12,Archived
c0baceaf-d0b6-458b-bef1-e34f5d770288,Troubleshooting the AV screen in the team presentation room via Outlook calendar?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with team presentation room, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"windows laptop, outlook, bangalore, product management, teams, booking",#facilities;#meeting;#booking,High,2025-09-11 22:23:12,2025-09-11 22:23:12,Published
ab639260-3909-44ef-8278-659f6b56c957,How to log sick leave for medical treatment as a full-time employee in Singapore?,"Time off or leave of absence for medical treatment must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"workday, vacation, leave, windows laptop, singapore, timeoff",#hr;#pto;#leave,Medium,2025-05-12 22:23:12,2025-05-12 22:23:12,Published
58b71a57-0d67-49fe-a9c0-ca87dff2aadc,How do I file an expense report for home office equipment for the R&D team?,"Submit your claim for home office equipment by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"concur, receipt, expense, r&d, february, macbook pro",#finance;#expense;#concur,Medium,2026-04-11 22:23:12,2026-04-11 22:23:12,Published
2c8273cd-27e2-43a3-b91c-6b1faf5cb32a,Steps to request access to the datacenter secure access pass requested by the R&D team?,Security and badge access for datacenter secure access pass is coordinated by the Facilities and Security Team. Visit the security desk or email badge.admin@company.com with manager authorization.,Facilities & Workspace,Office Access,"r&d, singapore, visitor, security, april, sharepoint",#facilities;#access;#security,Medium,2025-11-14 22:23:12,2025-11-24 22:23:12,Published
dedb399d-5b5e-40e6-a45b-0c2f0e566f2c,Can I set up a shared mailbox for GitHub using the web version?,"For configurations involving your mailbox for GitHub, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"calendar, shared, github, outlook, macbook pro, paris",#it;#email;#outlook,Low,2025-07-09 22:23:12,2025-07-22 22:23:12,Published
31c5c1ba-d267-44df-ba09-ce616cb55f30,How to register for vision exam and glasses for my family members?,Health benefits claims for vision exam and glasses should be submitted through the Cigna Portal at cigna.company.com. Keep your itemized receipts. Claims are processed within 5-7 business days.,HR & Policies,Health & Benefits,"claim, macbook pro, figma, june, dental, insurance",#hr;#benefits;#insurance,Medium,2025-08-31 22:23:12,2025-09-26 22:23:12,Published
43c17724-68d0-46d8-9a26-1eafbe5d09a4,Steps to configure a mailbox for Figma on Outlook for Windows Laptop?,"For configurations involving your mailbox for Figma, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"february, shared, calendar, windows laptop, mailbox, figma",#it;#email;#outlook,High,2025-12-04 22:23:12,2025-12-14 22:23:12,Published
739b4441-3e79-4cd7-9750-2d565aa68010,What is the policy for annual vacation days for 2025?,"Time off or leave of absence for annual vacation days must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"timeoff, vacation, singapore, jira, sick, leave",#hr;#pto;#leave,Medium,2025-05-24 22:23:12,2025-06-04 22:23:12,Published
2c3345ac-c697-4633-85c8-529da3a32b3e,How to log sick leave for medical treatment as a full-time employee in Sydney?,"Time off or leave of absence for medical treatment must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"vacation, june, workday, sick, pto, customer success",#hr;#pto;#leave,Medium,2026-03-17 22:23:12,2026-03-17 22:23:12,Published
663cc177-4c74-472c-9b8a-63f1b855c82c,Steps to audit my expenses for home office equipment in SAP Concur?,"Submit your claim for home office equipment by logging into SAP Concur, creating a new report, attaching itemized receipts, and selecting your cost center. Reimbursements are processed weekly.",Finance & Expenses,Expense Filing,"san francisco, iphone, august, human resources, expense, concur",#finance;#expense;#concur,Medium,2026-04-21 22:23:12,2026-04-21 22:23:12,Published
5b41ba87-d6c5-466f-8a94-2028061a9bf8,How do I edit my voluntary retirement contributions for the tax year 2024?,"Payroll and tax documents, including voluntary retirement contributions, are managed securely via Workday under the 'Pay' app. Update details before the 15th of the month to apply to the current pay run.",HR & Policies,Payroll & Taxes,"payroll, tax, w2, payslip, salesforce, directdeposit",#hr;#payroll;#taxes,Low,2025-08-10 22:23:12,2025-08-10 22:23:12,Published
39be0496-4313-451b-8f40-d4f354b7d7fd,How do I request a distribution list for R&D in the Munich office?,"For configurations involving your distribution list for R&D, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"calendar, email, macbook pro, shared, november, jira",#it;#email;#outlook,Medium,2025-12-16 22:23:12,2025-12-25 22:23:12,Published
e93cf1b7-12d8-4aa4-a844-c293d42b0fe3,How to increase the limit on my procurement purchasing card for my role in Legal?,Corporate card services are managed through the Corporate Card Portal. Applications and limit increases for procurement purchasing card require manager and finance director approval.,Finance & Expenses,Corporate Cards,"october, legal, corporate, amex, adobe creative cloud, ipad",#finance;#card;#amex,Medium,2026-04-23 22:23:12,2026-05-19 22:23:12,Published
de980d69-6224-433a-8761-5ee008387375,Steps to apply for a leave of absence for family emergency leave in the Workday system?,"Time off or leave of absence for family emergency leave must be entered in Workday under 'Time Off'. Ensure your manager is notified, and submit medical or legal certificates if required by HR policy.",HR & Policies,PTO & Leaves,"servicenow, sick, android phone, bangalore, leave, workday",#hr;#pto;#leave,Medium,2026-04-27 22:23:12,2026-05-09 22:23:12,Published
99d2f2e3-3e39-441f-868e-673f6c14977e,How do I request a distribution list for Customer Success on Outlook for ThinkPad?,"For configurations involving your distribution list for Customer Success, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"september, customer success, email, mailbox, london, zoom",#it;#email;#outlook,Medium,2025-07-19 22:23:12,2025-08-04 22:23:12,Published
a3d929af-58ee-4ee9-b66b-eb1041c3fb78,Troubleshooting steps for the office Wi-Fi connection for the Marketing team?,"To access the office Wi-Fi connection, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"toronto, connect, marketing, internet, wifi, access",#it;#network;#remote,Medium,2026-03-23 22:23:12,2026-03-23 22:23:12,Published
2bbfb95f-fa8f-401f-a7a0-9c719273d1b7,How to increase the limit on my travel and expense card for 2024 business operations?,Corporate card services are managed through the Corporate Card Portal. Applications and limit increases for travel and expense card require manager and finance director approval.,Finance & Expenses,Corporate Cards,"amex, outlook, ipad, austin, customer success, finance",#finance;#card;#amex,Medium,2025-10-21 22:23:12,2025-11-14 22:23:12,Published
